Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
169.254.172.2-239.255.255.250-48237-1900-17,169.254.172.2,48237,239.255.255.250,1900,17,2024-12-12 08:56:28.102672,3001810,4,0,740.0,0.0,185.0,185.0,185.0,0.0,0,0,0,0,246.51793417971157,1.3325293739443869,1000603.3333333334,245.45128505129756,1000766.0,1000321.0,3001810.0,1000603.3333333334,245.45128505129756,1000766.0,1000321.0,0,0,0,0,0,0,0,0,0,0,0,32,0,1.3325293739443869,0.0,185.0,185.0,185.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,246.66666666666666,0.0,0.0,0,0,3,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
169.254.172.2-224.0.0.251-5353-5353-17,169.254.172.2,5353,224.0.0.251,5353,17,2024-12-12 08:56:32.105514,66690651,15,0,600.0,0.0,40.0,40.0,40.0,0.0,0,0,0,0,8.996763279458765,0.22491908198646912,4763617.928571429,5392397.21483407,1.438494E7,1000192.0,6.6690651E7,4763617.928571429,5392397.21483407,1.438494E7,1000192.0,0,0,0,0,0,0,0,0,0,0,0,120,0,0.22491908198646912,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,42.857142857142854,0.0,0.0,0,0,14,8,3002844.75,2275.7371516353874,3005197.0,3000794.0,1.29184675E7,1016584.2130394314,1.438494E7,1.210413E7,-1,-1,0,NeedManualLabel
169.254.172.2-224.0.0.22-0-0-0,169.254.172.2,0,224.0.0.22,0,0,2024-12-12 08:56:32.113450,75877132,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.2504048255276702,4215396.222222223,3997367.119510961,1.1585141E7,16077.0,7.5877132E7,4215396.222222223,3997367.119510961,1.1585141E7,16077.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2504048255276702,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.111111111111111,0.0,0.0,0.0,0,0,0,0,637784.6666666666,291378.12375288224,931993.0,16077.0,7793007.777777778,2252092.261833636,1.1585141E7,5343944.0,-1,-1,0,NeedManualLabel
169.254.172.2-239.255.255.250-51030-1900-17,169.254.172.2,51030,239.255.255.250,1900,17,2024-12-12 08:57:31.892181,3000381,4,0,740.0,0.0,185.0,185.0,185.0,0.0,0,0,0,0,246.63534397798148,1.3331640215026026,1000127.0,130.98473193468007,1000276.0,1000030.0,3000381.0,1000127.0,130.98473193468007,1000276.0,1000030.0,0,0,0,0,0,0,0,0,0,0,0,32,0,1.3331640215026026,0.0,185.0,185.0,185.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,246.66666666666666,0.0,0.0,0,0,3,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
169.254.172.2-239.255.255.250-42831-1900-17,169.254.172.2,42831,239.255.255.250,1900,17,2024-12-12 08:57:16.696646,3000967,4,0,740.0,0.0,185.0,185.0,185.0,0.0,0,0,0,0,246.58718339788473,1.3329036940426202,1000322.3333333334,75.0821772016058,1000409.0,1000277.0,3000967.0,1000322.3333333334,75.0821772016058,1000409.0,1000277.0,0,0,0,0,0,0,0,0,0,0,0,32,0,1.3329036940426202,0.0,185.0,185.0,185.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,246.66666666666666,0.0,0.0,0,0,3,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
169.254.172.2-239.255.255.250-57678-1900-17,169.254.172.2,57678,239.255.255.250,1900,17,2024-12-12 08:57:00.611012,3001562,4,0,740.0,0.0,185.0,185.0,185.0,0.0,0,0,0,0,246.53830239055534,1.3326394723813801,1000520.6666666666,435.68604904602273,1001007.0,1000166.0,3001562.0,1000520.6666666666,435.68604904602273,1001007.0,1000166.0,0,0,0,0,0,0,0,0,0,0,0,32,0,1.3326394723813801,0.0,185.0,185.0,185.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,246.66666666666666,0.0,0.0,0,0,3,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
169.254.172.2-239.255.255.250-41162-1900-17,169.254.172.2,41162,239.255.255.250,1900,17,2024-12-12 08:56:43.392046,3001015,4,0,740.0,0.0,185.0,185.0,185.0,0.0,0,0,0,0,246.5832393373575,1.332882374796527,1000338.3333333334,244.36107164058137,1000590.0,1000102.0,3001015.0,1000338.3333333334,244.36107164058137,1000590.0,1000102.0,0,0,0,0,0,0,0,0,0,0,0,32,0,1.332882374796527,0.0,185.0,185.0,185.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,246.66666666666666,0.0,0.0,0,0,3,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
