Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Total TCP Flow Time,Label
169.254.172.2-239.255.255.250-46715-1900-17,169.254.172.2,46715,239.255.255.250,1900,17,2024-12-12 08:59:19.578861,3007407,4,0,740.0,0.0,185.0,185.0,185.0,0.0,0,0,0,0,246.05914663362822,1.3300494412628552,1002469.0,2402.803987011841,1005242.0,1001003.0,3007407.0,1002469.0,2402.803987011841,1005242.0,1001003.0,0,0,0,0,0,0,0,0,0,0,0,32,0,1.3300494412628552,0.0,185.0,185.0,185.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,246.66666666666666,0.0,0.0,0,0,3,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
169.254.172.2-239.255.255.250-33762-1900-17,169.254.172.2,33762,239.255.255.250,1900,17,2024-12-12 08:59:41.076611,3000715,4,0,740.0,0.0,185.0,185.0,185.0,0.0,0,0,0,0,246.60789178579105,1.3330156312745463,1000238.3333333334,64.25988899253821,1000299.0,1000171.0,3000715.0,1000238.3333333334,64.25988899253821,1000299.0,1000171.0,0,0,0,0,0,0,0,0,0,0,0,32,0,1.3330156312745463,0.0,185.0,185.0,185.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,246.66666666666666,0.0,0.0,0,0,3,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
169.254.172.2-224.0.0.251-5353-5353-17,169.254.172.2,5353,224.0.0.251,5353,17,2024-12-12 08:58:38.471650,111500952,15,0,600.0,0.0,40.0,40.0,40.0,0.0,0,0,0,0,5.381119974652773,0.13452799936631932,7964353.714285714,1.140826546024536E7,3.6903592E7,1000281.0,1.11500952E8,7964353.714285714,1.140826546024536E7,3.6903592E7,1000281.0,0,0,0,0,0,0,0,0,0,0,0,120,0,0.13452799936631932,0.0,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0714285714285714,42.857142857142854,0.0,0.0,0,0,14,8,3023176.75,41366.77145064623,3085199.0,3001369.0,2.4080448E7,8849483.495501982,3.6903592E7,1.7109022E7,-1,-1,0,NeedManualLabel
169.254.172.2-239.255.255.250-42208-1900-17,169.254.172.2,42208,239.255.255.250,1900,17,2024-12-12 08:58:57.979065,3001797,4,0,740.0,0.0,185.0,185.0,185.0,0.0,0,0,0,0,246.51900178459772,1.3325351447816092,1000599.0,189.00793634130815,1000787.0,1000409.0,3001797.0,1000599.0,189.00793634130815,1000787.0,1000409.0,0,0,0,0,0,0,0,0,0,0,0,32,0,1.3325351447816092,0.0,185.0,185.0,185.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,246.66666666666666,0.0,0.0,0,0,3,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
169.254.172.2-224.0.0.22-0-0-0,169.254.172.2,0,224.0.0.22,0,0,2024-12-12 08:58:38.482053,108875981,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.16532572046354282,6404469.470588235,7110472.00845779,2.0924017E7,95978.0,1.08875981E8,6404469.470588235,7110472.00845779,2.0924017E7,95978.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16532572046354282,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0,0,0,0,501500.375,263602.7392920412,947980.0,95978.0,1.3049999125E7,4489676.509273642,2.0924017E7,7856008.0,-1,-1,0,NeedManualLabel
169.254.172.2-239.255.255.250-56819-1900-17,169.254.172.2,56819,239.255.255.250,1900,17,2024-12-12 08:58:30.793396,3004550,4,0,740.0,0.0,185.0,185.0,185.0,0.0,0,0,0,0,246.29312209815114,1.3313141735035197,1001516.6666666666,836.555636723185,1002462.0,1000872.0,3004550.0,1001516.6666666666,836.555636723185,1002462.0,1000872.0,0,0,0,0,0,0,0,0,0,0,0,32,0,1.3313141735035197,0.0,185.0,185.0,185.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,246.66666666666666,0.0,0.0,0,0,3,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
169.254.172.2-239.255.255.250-35177-1900-17,169.254.172.2,35177,239.255.255.250,1900,17,2024-12-12 09:00:14.972385,3003222,4,0,740.0,0.0,185.0,185.0,185.0,0.0,0,0,0,0,246.40203088549563,1.3319028696513278,1001074.0,181.05524018928588,1001229.0,1000875.0,3003222.0,1001074.0,181.05524018928588,1001229.0,1000875.0,0,0,0,0,0,0,0,0,0,0,0,32,0,1.3319028696513278,0.0,185.0,185.0,185.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,246.66666666666666,0.0,0.0,0,0,3,8,0,0,0,0,0,0,0,0,-1,-1,0,NeedManualLabel
